Survey.sheet;Clove.benefit.score;Region;Gender;Age;edu.level;Ethnic.group;Migration.Experience;Farms.Cloves;encountered.binary;ID.vis.Aye;ID.nom;Knowledge.non.benefit.score.max.6;DK.score;Diet.Insects;Knowledge.signs;Remoteness;village.size;Farms.Paddy.Rice;Farms.Tavy.Rice;Extracts.Medical.plants;ID.vis.Indri;ID.vis.Microcebus;Aye.aye.protected
193;1;2;1;31-40;Primary;1;0;1;0;0;1;3;4;0;0;3;1;1;1;0;0;1;1
194;0;2;1;31-40;Primary;2;0;1;0;0;0;3;5;0;0;3;1;0;1;0;1;0;1
195;0;2;1;31-40;Primary;2;1;0;0;0;1;3;5;0;0;3;1;0;0;0;0;1;1
196;0;2;0;>70;None;1;0;1;0;0;0;4;8;0;0;3;1;0;1;0;0;0;1
197;0;2;1;21-30;Primary;2;1;1;0;0;0;0;5;0;0;3;1;0;1;0;0;0;1
198;1;2;1;31-40;Primary;1;0;1;0;1;1;2;5;1;0;3;1;0;1;0;1;1;1
199;0;2;1;21-30;Secondary;1;1;1;0;0;1;1;2;0;1;3;1;0;1;0;1;0;1
200;1;2;1;41-50;Primary;1;0;1;1;1;1;5;2;1;0;3;3;1;1;0;1;1;1
201;1;2;1;41-50;Primary;1;0;1;0;0;1;5;1;1;0;3;3;0;1;0;1;0;1
202;0;2;0;31-40;Primary;2;1;0;0;0;1;1;6;0;0;3;3;0;1;0;0;0;1
203;0;2;1;31-40;Primary;1;0;1;0;0;1;3;5;1;0;3;3;1;1;0;1;1;1
204;0;2;1;21-30;Primary;3;0;1;0;1;1;3;2;1;0;3;3;0;1;0;0;0;1
205;0;2;1;21-30;None;2;1;0;1;1;1;3;2;1;0;3;3;0;1;0;1;0;1
206;1;2;1;31-40;Primary;1;0;1;0;1;1;5;0;1;0;3;3;0;1;0;1;0;1
207;0;2;0;31-40;Primary;2;0;0;0;0;1;3;1;1;0;3;3;0;1;1;0;0;1
208;0;2;0;31-40;Primary;1;0;1;0;0;0;0;13;0;0;3;3;1;0;0;1;0;0
209;1;2;1;41-50;Primary;2;1;1;0;0;1;1;6;0;0;3;3;1;1;1;1;0;0
210;1;2;1;31-40;Primary;1;0;1;0;0;1;5;1;1;1;3;3;0;1;1;0;1;1
211;1;2;1;31-40;Primary;1;1;1;1;1;1;4;0;1;0;3;3;0;1;1;0;1;1
212;0;2;0;31-40;Secondary;3;1;0;0;0;0;1;5;0;0;3;3;1;0;0;0;0;1
213;0;2;1;61-70;None;1;1;1;0;0;0;1;10;0;0;3;3;0;1;1;1;1;0
214;1;2;1;14-20;Secondary;1;0;1;0;0;1;3;2;0;0;3;3;1;1;1;0;0;1
215;1;2;1;41-50;Primary;1;0;1;0;1;1;5;1;1;1;3;3;1;0;1;1;1;1
216;0;2;0;14-20;Primary;1;0;1;0;0;0;0;12;0;0;3;3;1;0;0;0;0;0
217;0;2;0;31-40;None;1;0;1;0;0;1;2;4;0;0;3;3;0;1;1;0;0;1
218;0;2;0;21-30;Secondary;1;0;1;0;0;1;2;2;0;0;3;3;0;0;1;0;0;0
219;0;2;1;51-60;Secondary;2;1;1;0;0;1;1;10;0;0;3;3;1;1;0;0;0;1
220;1;2;1;51-60;Primary;1;0;1;1;0;1;4;4;1;0;3;4;1;1;1;1;1;1
221;1;2;1;51-60;Secondary;1;0;1;0;0;1;3;2;1;0;3;4;1;0;1;1;0;1
222;1;2;0;21-30;Primary;1;0;1;0;0;1;4;0;0;0;3;4;0;1;1;1;0;1
223;1;2;1;31-40;Primary;1;0;1;0;0;1;3;5;1;0;3;4;0;1;1;1;0;1
224;1;2;1;31-40;High;2;1;0;0;0;1;4;0;0;0;3;4;1;0;1;1;0;1
225;0;2;0;21-30;Primary;1;0;1;0;1;1;1;2;0;0;3;4;1;0;1;1;0;1
226;0;2;0;31-40;None;1;0;1;0;0;1;3;4;0;0;3;4;1;1;1;1;0;1
227;0;2;1;31-40;Secondary;1;0;1;0;1;1;3;3;1;0;3;4;1;1;1;1;1;1
228;0;2;0;31-40;Primary;2;0;1;0;0;1;2;4;0;1;3;4;0;1;1;0;0;1
229;1;2;0;21-30;Secondary;1;0;1;0;0;1;4;2;0;0;3;4;0;1;1;1;0;1
